diseases,symptom_text
panic disorder,"anxiety and nervousness, breathing fast, chest tightness, depressive or psychotic symptoms, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"depressive or psychotic symptoms, dizziness, insomnia, palpitations, shortness of breath"
panic disorder,"anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, depressive or psychotic symptoms, dizziness, insomnia"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, chest tightness, depression, insomnia"
panic disorder,"depressive or psychotic symptoms, insomnia, irregular heartbeat, palpitations, shortness of breath"
panic disorder,anxiety and nervousness
panic disorder,"abnormal involuntary movements, breathing fast, chest tightness, depressive or psychotic symptoms, insomnia, irregular heartbeat, palpitations"
panic disorder,"anxiety and nervousness, chest tightness, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, depression, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"breathing fast, insomnia, shortness of breath"
panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness"
panic disorder,"anxiety and nervousness, chest tightness, depression, insomnia, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, chest tightness, depressive or psychotic symptoms"
panic disorder,"anxiety and nervousness, chest tightness, depression, depressive or psychotic symptoms, dizziness, insomnia"
panic disorder,"abnormal involuntary movements, breathing fast, depressive or psychotic symptoms, insomnia, shortness of breath"
panic disorder,"abnormal involuntary movements, chest tightness, depression, depressive or psychotic symptoms, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, chest tightness, depressive or psychotic symptoms, dizziness, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, chest tightness, depressive or psychotic symptoms, dizziness"
panic disorder,"anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, dizziness, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, breathing fast, chest tightness, depressive or psychotic symptoms, insomnia, shortness of breath"
panic disorder,"chest tightness, dizziness, insomnia, palpitations"
panic disorder,"abnormal involuntary movements, breathing fast, depression, dizziness, insomnia, palpitations"
panic disorder,"abnormal involuntary movements, depression, depressive or psychotic symptoms, dizziness, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, dizziness, insomnia"
panic disorder,"abnormal involuntary movements, breathing fast, depressive or psychotic symptoms, dizziness, insomnia"
panic disorder,"anxiety and nervousness, breathing fast, chest tightness, depressive or psychotic symptoms, dizziness, insomnia, palpitations"
panic disorder,"chest tightness, depressive or psychotic symptoms, dizziness, irregular heartbeat, palpitations"
panic disorder,"abnormal involuntary movements, breathing fast, chest tightness, depression, dizziness, insomnia, irregular heartbeat, shortness of breath"
panic disorder,"abnormal involuntary movements, breathing fast, chest tightness, depression, dizziness, insomnia, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"depression, dizziness, irregular heartbeat, shortness of breath"
panic disorder,"chest tightness, depressive or psychotic symptoms, insomnia"
panic disorder,"abnormal involuntary movements, chest tightness, irregular heartbeat, palpitations"
panic disorder,"anxiety and nervousness, breathing fast, chest tightness, depression, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, irregular heartbeat, palpitations"
panic disorder,"anxiety and nervousness, dizziness, irregular heartbeat, palpitations"
panic disorder,"abnormal involuntary movements, chest tightness, depression, irregular heartbeat"
panic disorder,"chest tightness, depressive or psychotic symptoms, insomnia, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, chest tightness, depressive or psychotic symptoms, irregular heartbeat"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, depression, insomnia, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, dizziness, insomnia, palpitations"
panic disorder,"anxiety and nervousness, chest tightness, depressive or psychotic symptoms, dizziness, insomnia, shortness of breath"
panic disorder,"abnormal involuntary movements, chest tightness, depressive or psychotic symptoms, shortness of breath"
panic disorder,"anxiety and nervousness, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, depression, insomnia, irregular heartbeat, shortness of breath"
panic disorder,"abnormal involuntary movements, breathing fast, depressive or psychotic symptoms, dizziness, irregular heartbeat, palpitations"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, chest tightness, irregular heartbeat, palpitations"
panic disorder,"chest tightness, dizziness, insomnia"
panic disorder,"abnormal involuntary movements, breathing fast, chest tightness, depression, insomnia, irregular heartbeat, shortness of breath"
panic disorder,"abnormal involuntary movements, breathing fast, chest tightness, depressive or psychotic symptoms, shortness of breath"
panic disorder,"anxiety and nervousness, breathing fast, depression, irregular heartbeat, shortness of breath"
panic disorder,"breathing fast, depressive or psychotic symptoms, dizziness, shortness of breath"
panic disorder,"abnormal involuntary movements, chest tightness, depression, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat"
panic disorder,"chest tightness, depression, depressive or psychotic symptoms, insomnia"
panic disorder,"dizziness, insomnia, irregular heartbeat"
panic disorder,"abnormal involuntary movements, breathing fast, depressive or psychotic symptoms, insomnia, irregular heartbeat"
panic disorder,"breathing fast, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, depression, depressive or psychotic symptoms"
panic disorder,"anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, dizziness"
panic disorder,"abnormal involuntary movements, breathing fast, depression, depressive or psychotic symptoms, irregular heartbeat, shortness of breath"
panic disorder,"abnormal involuntary movements, chest tightness, depressive or psychotic symptoms, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat, shortness of breath"
panic disorder,"anxiety and nervousness, chest tightness, depression, depressive or psychotic symptoms, insomnia, irregular heartbeat, palpitations"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, dizziness, shortness of breath"
panic disorder,"breathing fast, chest tightness, depression, depressive or psychotic symptoms, dizziness"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, chest tightness, depression, depressive or psychotic symptoms, dizziness, palpitations, shortness of breath"
panic disorder,"abnormal involuntary movements, anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"chest tightness, depression, depressive or psychotic symptoms, shortness of breath"
panic disorder,"anxiety and nervousness, breathing fast, chest tightness, depression, depressive or psychotic symptoms, shortness of breath"
panic disorder,"anxiety and nervousness, breathing fast, insomnia, irregular heartbeat"
panic disorder,"anxiety and nervousness, breathing fast, depression, depressive or psychotic symptoms, irregular heartbeat, palpitations"
panic disorder,"abnormal involuntary movements, depression, depressive or psychotic symptoms, dizziness"
panic disorder,"anxiety and nervousness, chest tightness, depression, irregular heartbeat, shortness of breath"
panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat, palpitations, shortness of breath"
panic disorder,"chest tightness, depression, depressive or psychotic symptoms, irregular heartbeat, palpitations"
panic disorder,"abnormal involuntary movements, breathing fast, depressive or psychotic symptoms, dizziness, irregular heartbeat, shortness of breath"
panic disorder,"anxiety and nervousness, dizziness"
panic disorder,"anxiety and nervousness, breathing fast, chest tightness, depressive or psychotic symptoms, dizziness, insomnia, palpitations, shortness of breath"
